threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets,diagnostic_type,scoring_role,line_bucket,market_prob_bucket,abs_edge_bucket,minutes_bucket,contact_bucket,matchup_pts_bucket,matchup_contact_bucket
0.075,,76.0,0.6578947368421053,0.2379545190235016,18.08454344578612,0.8997206046287645,0.2644760137750591,-4.506205690011443,0.09467239256821246,0.4239648840859673,0.49921918869858256,18.894736842105264,True,matchup_contact,,,,,,,,"(0.65, 6.1]"
0.075,,68.0,0.6029411764705882,0.1356239460541316,9.22242833168095,0.9294257030760729,0.14592231052494453,-7.306498316498316,0.09663113971911366,0.4780715517719392,0.5020711106680144,18.426470588235293,True,matchup_pts,,,,,,,"(1.4, 10.45]",
0.075,,57.0,0.5964912280701754,0.11467690461899946,6.536583563282969,0.9264024146252888,0.1237873550506493,-12.428902785576023,0.09130254066956157,0.47840351309762247,0.502389189971544,12.324561403508772,True,line,,mid_line,,,,,,
0.05,,45.0,0.6,0.11042428708507003,4.969092918828151,0.9183297315447062,0.12024470437141058,-5.0,0.06791904713562019,0.5067032140387291,0.5020766448588253,8.233333333333333,True,role,low_usage,,,,,,,
0.05,,183.0,0.5792349726775956,0.08762953587942565,16.036205065934894,0.93043043424365,0.09418171703579321,-10.783913011718965,0.07456797354511356,0.4529343271948285,0.5002771749714564,17.773224043715846,True,matchup_contact,,,,,,,,"(0.65, 6.1]"
0.075,,52.0,0.5769230769230769,0.08321273356278844,4.327062145264999,0.9381335282657803,0.08870030870404372,-6.196892860017709,0.09211562223688324,0.472982477467422,0.5017841575906412,12.326923076923077,True,role,rotation,,,,,,,
0.1,,52.0,0.5769230769230769,0.08240673586375274,4.285150264915143,0.9371204490122387,0.08793611957845189,-4.273809523809524,0.13054271542858953,0.43389316973211034,0.49912403824657575,23.96153846153846,True,minutes,,,,,heavy_minutes,,,
0.075,,106.0,0.5754716981132075,0.07959479554319754,8.437048327578939,0.9326365826091289,0.08534384885538635,-10.521286204029568,0.10599643150637644,0.4117514602640462,0.4982548368149939,23.62264150943396,True,matchup_pts,,,,,,,"(-18.701, -2.716]",
0.1,,54.0,0.5740740740740741,0.07574475611157194,4.090216830024885,0.936241983414037,0.08090296894758577,-7.638601594483948,0.1250509365840506,0.4021074151775567,0.4987866507505289,25.25925925925926,True,matchup_pts,,,,,,,"(-18.701, -2.716]",
0.075,Over,66.0,0.5757575757575758,0.07560509063006082,4.989935981584014,0.9315309688854533,0.08116218693246438,-5.58107498295381,0.10156230032717556,0.6054848428019342,0.5039225424747587,13.909090909090908,True,side,,,,,,,,
0.075,,84.0,0.5714285714285714,0.07119261610729387,5.980179753012685,0.9342364670406623,0.07620406462274741,-9.0,0.09616703228972776,0.44028946210376935,0.5002881934279241,19.261904761904763,True,contact,,,,,,"(0.0987, 0.141]",,
0.05,,209.0,0.569377990430622,0.06694442149107388,13.991384091634442,0.9310936056942063,0.07189870178644536,-11.987916822565698,0.08379146608618505,0.432300794326209,0.4978412832236571,20.964114832535884,True,matchup_pts,,,,,,,"(-18.701, -2.716]",
0.075,,46.0,0.5652173913043478,0.06604316070414333,3.0379853923905933,0.9464947432443478,0.06977657422350161,-4.124945237886621,0.0969701044978775,0.4428716554092227,0.5014111909789687,14.152173913043478,True,minutes,,,,,rotation_minutes,,,
0.1,,74.0,0.5675675675675675,0.060270618628636426,4.460025778519095,0.9326371571462904,0.0646238659556029,-6.169064699984449,0.12942731046592693,0.4104891135079337,0.4983598377141073,25.06756756756757,True,role,star,,,,,,,
0.05,,60.0,0.5666666666666667,0.05450203685412631,3.2701222112475783,0.9313099945967966,0.05852190695937129,-5.614322776410182,0.07120316550117305,0.5541154093487598,0.5061180787142311,7.4,True,line,,low_line,,,,,,
0.1,,66.0,0.5606060606060606,0.05000825973115845,3.300545142256458,0.9374815826463124,0.05334319164969162,-6.842734167771565,0.12587935543051593,0.3910832555869261,0.49872214864431647,25.939393939393938,True,line,,star_line,,,,,,
0.1,,69.0,0.5652173913043478,0.0486820660479413,3.35906255730795,0.927171718629183,0.052505986830484214,-5.1803278688524586,0.12585835314801042,0.3941877940314174,0.48696920079139383,22.23913043478261,True,market_prob,,,market_slight_under,,,,,
0.05,,244.0,0.5573770491803278,0.04762386295319101,11.620222560578606,0.9362559446007915,0.05086628632675572,-8.61452855004704,0.0901426100521105,0.4413375243669871,0.49938150048699176,23.922131147540984,True,role,star,,,,,,,
0.075,,50.0,0.56,0.04649716513307181,2.3248582566535907,0.9382251719086506,0.04955864170482836,-4.619001795477011,0.09048108760984766,0.4570254364222223,0.49649109248842854,13.58,True,contact,,,,,,"(0.0038900000000000002, 0.0658]",,
0.075,,137.0,0.5547445255474452,0.03911780501874609,5.359139287568214,0.9353469990557116,0.041821703665311204,-13.231305666651528,0.09756114467747187,0.43818589199109986,0.4998882635350053,19.514598540145986,True,minutes,,,,,starter_minutes,,,
0.075,,164.0,0.5609756097560976,0.03895658276441871,6.388879573364669,0.9225541491927128,0.04222687936367522,-10.024797371224686,0.10268428880257732,0.41626472168986667,0.48648957632006323,20.548780487804876,True,market_prob,,,market_slight_under,,,,,
0.075,,156.0,0.5512820512820513,0.03492799078776344,5.448766562891096,0.9375432023690731,0.037254806711311095,-12.032530109877012,0.10698291691034835,0.42178864844982117,0.4988287636592038,24.185897435897434,True,role,star,,,,,,,
0.075,,78.0,0.5512820512820513,0.03458294807871857,2.6974699501400483,0.9403427085915893,0.03677696201900224,-7.400404193507642,0.09754562446751766,0.4604183770405493,0.4993546377846174,17.397435897435898,True,matchup_contact,,,,,,,,"(-0.95, -0.09]"
0.025,,321.0,0.5514018691588785,0.03436859762933483,11.03231983901648,0.9353625517521791,0.03674361087575448,-16.903519297425674,0.06731135011034341,0.4511125191569921,0.4980768402393686,19.172897196261683,True,matchup_pts,,,,,,,"(-18.701, -2.716]",
0.025,,136.0,0.5588235294117647,0.034221615832945494,4.654139753280587,0.9241490356595843,0.03703040798881624,-12.702523063098466,0.04661083360384966,0.5049701364059415,0.5000570615742139,7.705882352941177,True,role,low_usage,,,,,,,
0.025,,196.0,0.5510204081632653,0.03301396626537744,6.470737388013978,0.935769414657539,0.035280022779393225,-16.177986018903926,0.08599045467655297,0.4547957934364949,0.5002276636150444,18.4234693877551,True,edge,,,,edge_7_5_10,,,,
0.05,,196.0,0.5510204081632653,0.03301396626537744,6.470737388013978,0.935769414657539,0.035280022779393225,-16.177986018903926,0.08599045467655297,0.4547957934364949,0.5002276636150444,18.4234693877551,True,edge,,,,edge_7_5_10,,,,
0.075,,196.0,0.5510204081632653,0.03301396626537744,6.470737388013978,0.935769414657539,0.035280022779393225,-16.177986018903926,0.08599045467655297,0.4547957934364949,0.5002276636150444,18.4234693877551,True,edge,,,,edge_7_5_10,,,,
0.05,,221.0,0.5475113122171946,0.027789148804705857,6.141401885839994,0.9371943076584968,0.029651427220183154,-10.423588374899541,0.08737615102261034,0.43228782615366834,0.4987116925744986,24.957013574660632,True,line,,star_line,,,,,,
0.075,,128.0,0.546875,0.026060354232905814,3.335725341811944,0.9384322976502077,0.027770095187644082,-13.201726106617306,0.10661883731968642,0.40813194985508927,0.4984961570716201,25.5390625,True,line,,star_line,,,,,,
0.025,,334.0,0.5389221556886228,0.013947504319858795,4.658466442832838,0.9400064550060508,0.01483766866235936,-11.206105736883815,0.07603810293875549,0.4533246599489372,0.4991632219556976,23.619760479041915,True,role,star,,,,,,,
0.05,,215.0,0.5395348837209303,0.01059133617689191,2.277137278031761,0.9366971630870042,0.011307108203452671,-15.623740863378535,0.08877181630038844,0.44365106552002515,0.4992185410940869,22.60232558139535,True,contact,,,,,,"(0.141, 0.293]",,
0.025,,339.0,0.5368731563421829,0.005972474092011768,2.0246687171919895,0.9366424208506663,0.0063764719161315785,-20.174547499956923,0.06516154323245857,0.4665706155713491,0.4989876431572791,18.898230088495577,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.95]"
0.075,Under,249.0,0.5341365461847389,0.0028474440498263615,0.709013568406764,0.9393265799798698,0.0030313674823163033,-17.501283032771386,0.10006312592378348,0.3983859046002245,0.498449030524008,21.102409638554217,True,side,,,,,,,,
0.025,,294.0,0.5340136054421769,0.002712489100350039,0.7974717955029114,0.9389455448508663,0.002888867320607891,-10.728870737439642,0.07491560315373362,0.44633115257569816,0.4983320027905895,24.782312925170068,True,line,,star_line,,,,,,
0.05,,215.0,0.5348837209302325,0.0003434426574968515,0.07384017136182308,0.9359432773227963,0.0003669481536095291,-15.562314376312651,0.08206034631840957,0.4534275127159222,0.4990698676614353,20.76511627906977,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.95]"
0.075,,64.0,0.53125,0.00022574045615969193,0.014447389194220284,0.9478721169520037,0.00023815497061522117,-10.074074074074074,0.09334490294066135,0.46538408371960394,0.5026117123879068,15.828125,True,contact,,,,,,"(0.0658, 0.0987]",,
0.075,,151.0,0.5231788079470199,-0.004569073002476127,-0.6899300233738952,0.9543571029848622,-0.004787592598395111,-15.966085928394161,0.09787156829796688,0.46948791730626105,0.5138305025650441,18.55960264900662,True,market_prob,,,market_slight_over,,,,,
0.05,,106.0,0.5283018867924528,-0.006457749625449834,-0.6845214602976823,0.9442926615031171,-0.006838716309804253,-11.764742292972986,0.11790069773276125,0.41104083658602797,0.4988459593402738,21.50943396226415,True,edge,,,,edge_10_15,,,,
0.025,,106.0,0.5283018867924528,-0.006457749625449834,-0.6845214602976823,0.9442926615031171,-0.006838716309804253,-11.764742292972986,0.11790069773276125,0.41104083658602797,0.4988459593402738,21.50943396226415,True,edge,,,,edge_10_15,,,,
0.075,,106.0,0.5283018867924528,-0.006457749625449834,-0.6845214602976823,0.9442926615031171,-0.006838716309804253,-11.764742292972986,0.11790069773276125,0.41104083658602797,0.4988459593402738,21.50943396226415,True,edge,,,,edge_10_15,,,,
0.1,,106.0,0.5283018867924528,-0.006457749625449834,-0.6845214602976823,0.9442926615031171,-0.006838716309804253,-11.764742292972986,0.11790069773276125,0.41104083658602797,0.4988459593402738,21.50943396226415,True,edge,,,,edge_10_15,,,,
0.025,,203.0,0.5320197044334976,-0.010104161006711989,-2.0511446843625336,0.932441122141987,-0.010836245599615867,-19.153220152499877,0.046230967287273765,0.5244717225383002,0.5018334401526325,7.396551724137931,True,line,,low_line,,,,,,
0.05,,406.0,0.5344827586206896,-0.010821973674523488,-4.393721311856536,0.9248621913426676,-0.011701174267717334,-20.055519902583324,0.07785265176189092,0.43813037633168717,0.48674514190225193,18.076354679802957,True,market_prob,,,market_slight_under,,,,,
0.075,,89.0,0.5280898876404494,-0.013471182079487687,-1.1989352050744042,0.9388376964461197,-0.01434878694206843,-7.905559629084641,0.11174638860782762,0.4322308871311172,0.49928978592152984,23.769662921348313,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.95]"
0.1,Under,99.0,0.5252525252525253,-0.014521508310997735,-1.4376293227887758,0.9425029811897576,-0.01540738713915438,-9.724849206729225,0.12157909615375802,0.3758715762867241,0.497450672440482,22.853535353535353,True,side,,,,,,,,
0.05,,154.0,0.525974025974026,-0.017070109702530284,-2.6287968941896636,0.9373395338271487,-0.01821123412221096,-11.194925760904017,0.07075480797736947,0.4685914277919551,0.5013492618368213,12.324675324675324,True,minutes,,,,,rotation_minutes,,,
0.075,,124.0,0.5241935483870968,-0.017700031880063742,-2.194803953127904,0.9404351913612171,-0.01882110754962724,-10.80544889482874,0.10501588936210841,0.44571197985164857,0.4989741892559728,22.29032258064516,True,minutes,,,,,heavy_minutes,,,
0.075,,117.0,0.5213675213675214,-0.022397742298031806,-2.6205358488697215,0.9415279010325233,-0.023788718606712982,-13.207104791580889,0.11147582303917808,0.42341813567949715,0.49877593109930735,24.465811965811966,True,contact,,,,,,"(0.141, 0.293]",,
0.05,,249.0,0.5220883534136547,-0.022444454436232143,-5.588669154621804,0.9379257151874704,-0.023929884928835753,-11.495155411521605,0.08308126521002618,0.4600080743841395,0.49879914921462615,21.43975903614458,True,minutes,,,,,heavy_minutes,,,
0.025,,290.0,0.5206896551724138,-0.023181207215963322,-6.722550092629364,0.9396614876382269,-0.024669742796661443,-19.866066057057136,0.07538686999527223,0.4555863883908529,0.49867186006997305,21.879310344827587,True,contact,,,,,,"(0.141, 0.293]",,
0.05,Under,576.0,0.5208333333333334,-0.023430663519991696,-13.496062187515218,0.938400945801456,-0.02496871260075337,-29.212211174513307,0.0779627813434754,0.41983291824201874,0.49779569958549413,18.866319444444443,True,side,,,,,,,,
0.025,,44.0,0.5227272727272727,-0.03430219389013884,-1.5092965311661088,0.9349328738804514,-0.03668947241930549,-5.335788929075557,0.054388477085089454,0.4794574720856177,0.5005127835393851,8.75,True,minutes,,,,,low_minutes,,,
0.075,,93.0,0.5161290322580645,-0.03456151786824246,-3.214221161746549,0.9406299613233486,-0.036742948119171885,-13.912976843845348,0.09602015733091233,0.4479350075067225,0.5004612356186161,17.607526881720432,True,role,starter,,,,,,,
0.05,,194.0,0.5154639175257731,-0.035418571535826504,-6.871202877950342,0.9385907731070738,-0.03773590424139613,-13.542246053095582,0.07582049524446054,0.4694270845288983,0.4985776399468674,15.61340206185567,True,matchup_contact,,,,,,,,"(-0.95, -0.09]"
0.075,,111.0,0.5135135135135135,-0.03624847514437251,-4.023580741025349,0.9430768140327567,-0.03843639733795158,-15.381831552213011,0.09842256028393832,0.43834904866855473,0.4990767940875623,18.563063063063062,True,line,,high_line,,,,,,
0.025,,369.0,0.5094850948509485,-0.04062204101604685,-14.989533134921288,0.9435739237508698,-0.04305125437821257,-22.383056353987595,0.05843710387848052,0.46872797514175446,0.4995751181149251,17.31029810298103,True,contact,,,,,,"(0.0987, 0.141]",,
0.025,,810.0,0.5148148148148148,-0.04430050518617311,-35.883409200800216,0.9291508464501819,-0.04767848552839731,-48.06107763206797,0.05716675741089803,0.4540323609827687,0.48574357001831586,16.053086419753086,True,market_prob,,,market_slight_under,,,,,
0.025,,411.0,0.5085158150851582,-0.04636443517955119,-19.05578285879554,0.9395032586126855,-0.04934994610664266,-24.403251440158485,0.06461939864726549,0.4713544841924056,0.4986390561064757,20.60705596107056,True,minutes,,,,,heavy_minutes,,,
0.025,,390.0,0.5051282051282051,-0.054730377614823765,-21.34484726978127,0.937959204631462,-0.05835048832036158,-28.176346276318725,0.055993257480816704,0.4775913404732637,0.4981932549159689,14.238461538461538,True,matchup_contact,,,,,,,,"(-0.95, -0.09]"
0.025,,504.0,0.503968253968254,-0.05653373345285686,-28.493001660239855,0.9380692402760706,-0.06026605609221252,-32.96749555317706,0.048016808508785494,0.48465445689778874,0.4988358068524234,11.198412698412698,True,role,rotation,,,,,,,
0.05,,186.0,0.5053763440860215,-0.057819421659012965,-10.754412428576412,0.9354178488996246,-0.061811330334383324,-18.247988808042564,0.07199758563472777,0.46986237925997576,0.4997742659923015,14.93010752688172,True,contact,,,,,,"(0.0658, 0.0987]",,
0.05,,212.0,0.5,-0.057825496339975066,-12.259005224074714,0.9452179005453584,-0.06117689509118663,-18.031614361895354,0.07490436499513635,0.4579834807353722,0.49984629141069736,18.62264150943396,True,contact,,,,,,"(0.0987, 0.141]",,
0.025,,407.0,0.5012285012285013,-0.060477014656270166,-24.614144965101957,0.9393477127989746,-0.06438192570466457,-43.18583862277413,0.05372619420555793,0.4750698093941218,0.5013403775118485,15.993857493857494,True,matchup_contact,,,,,,,,"(0.65, 6.1]"
0.025,Under,1066.0,0.50093808630394,-0.061549343903025376,-65.61160060062505,0.9380949693298942,-0.06561099453181343,-71.58747578613902,0.058904043504325626,0.43839952314891545,0.497303566653241,16.78893058161351,True,side,,,,,,,,
0.025,,587.0,0.5008517887563884,-0.06302065477067505,-36.99312435038625,0.9373074957588499,-0.06723583781825317,-52.26238449207857,0.04838941225970229,0.48261871798515676,0.4996562790589297,11.980408858603067,True,line,,mid_line,,,,,,
0.1,,68.0,0.5,-0.0666300732287071,-4.530844979552083,0.9409658891442322,-0.07081029609830414,-10.697435022472419,0.1294396727598288,0.4107211247748203,0.4983374448107772,25.11764705882353,True,contact,,,,,,"(0.141, 0.293]",,
0.025,,409.0,0.49877750611246946,-0.06774306298014171,-27.706912758877962,0.9368288869273653,-0.07231103131579032,-31.088380370419426,0.048890845233423984,0.4818210672049226,0.4990917047174652,11.08435207823961,True,minutes,,,,,rotation_minutes,,,
0.025,Over,484.0,0.49793388429752067,-0.06918661247082135,-33.48632043587753,0.9366856275864239,-0.07386321561172646,-39.26519482918338,0.05170498298042505,0.5557815543857929,0.5040765714053679,13.02892561983471,True,side,,,,,,,,
0.025,,420.0,0.4976190476190476,-0.07106614850093006,-29.847782370390625,0.9353769908005128,-0.07597594253426133,-35.74442699870197,0.0532049136595397,0.4777025777546723,0.4994841380262437,14.39047619047619,True,matchup_pts,,,,,,,"(-0.872, 1.4]",
0.025,,393.0,0.4961832061068702,-0.07188784075760309,-28.25192141773801,0.9375057874576918,-0.0766798901077155,-33.500081983901325,0.055669668543936374,0.4747261893961894,0.4992350859228235,14.787531806615776,True,matchup_pts,,,,,,,"(-2.716, -0.872]",
0.05,,352.0,0.4943181818181818,-0.07369923615770535,-25.942131127512283,0.9390884045974294,-0.07847955080363164,-35.47422800455228,0.07520383137349776,0.4577732150176512,0.49940820696333715,17.545454545454547,True,minutes,,,,,starter_minutes,,,
0.025,,686.0,0.49416909620991256,-0.07409027534644749,-50.82592888766298,0.9384062650225558,-0.07895330424362272,-56.749898711466344,0.05666020495903263,0.4729512036994291,0.5000101178536666,15.76530612244898,True,minutes,,,,,starter_minutes,,,
0.05,,182.0,0.4945054945054945,-0.07451707686180353,-13.562107988848243,0.9394106714784697,-0.07932321733638235,-16.793243691489984,0.06921078522973574,0.4798562544103245,0.5004489197541171,11.659340659340659,True,role,rotation,,,,,,,
0.05,,274.0,0.4927007299270073,-0.07705233132339837,-21.11233878261115,0.9389465787355114,-0.082062529507446,-33.07529973812338,0.07630473019054242,0.44930636398376245,0.49864729377387856,18.222627737226276,True,line,,high_line,,,,,,
0.025,,468.0,0.4935897435897436,-0.07988796705123104,-37.387568579976126,0.9341828070294418,-0.08551641761130516,-54.040921275985596,0.0477287422970359,0.4874010876608398,0.4991090986381678,11.568376068376068,True,contact,,,,,,"(0.0038900000000000002, 0.0658]",,
0.05,,368.0,0.483695652173913,-0.08169829539678522,-30.064972706016963,0.9509676704677318,-0.08591069700256167,-34.601385897316135,0.07585667700038809,0.48508794477823947,0.5137621174265107,17.02173913043478,True,market_prob,,,market_slight_over,,,,,
0.075,,65.0,0.49230769230769234,-0.08198355637818956,-5.328931164582322,0.9403590671418606,-0.08718324653089318,-7.34464433944034,0.10056269401715737,0.44286168682785065,0.4993993966281686,17.46923076923077,True,matchup_pts,,,,,,,"(-0.872, 1.4]",
0.1,,50.0,0.48,-0.08261700790662303,-4.1308503953311515,0.9654538672844679,-0.08557323214106531,-6.736441316456052,0.12160949385597154,0.4564231313732551,0.5145439896131433,20.54,True,market_prob,,,market_slight_over,,,,,
0.05,,198.0,0.4898989898989899,-0.08294218588537322,-16.422552805303898,0.939092517284275,-0.0883216342999202,-24.474858523633255,0.07470480181402062,0.46216016872441334,0.4996984868943944,16.18686868686869,True,matchup_pts,,,,,,,"(-2.716, -0.872]",
0.025,,776.0,0.4896907216494845,-0.08329797296215088,-64.63922701862909,0.9374967971143138,-0.08885147471281861,-71.6403954320559,0.036460680910652465,0.489611942693828,0.49924700488051904,13.65979381443299,True,edge,,,,edge_0_5,,,,
0.1,,49.0,0.4897959183673469,-0.08412242635956907,-4.121998891618884,0.9452234506829625,-0.08899739664603876,-7.541127108806744,0.11921001885403028,0.41508560398064964,0.4966559859099708,20.744897959183675,True,minutes,,,,,starter_minutes,,,
0.05,,161.0,0.4906832298136646,-0.08523238287735488,-13.722413643254136,0.9358870987219368,-0.09107122322099499,-22.558526753208447,0.06935538471961955,0.47528830387575965,0.49953772196525215,12.537267080745341,True,contact,,,,,,"(0.0038900000000000002, 0.0658]",,
0.05,,185.0,0.4864864864864865,-0.08581928525068533,-15.876567771376786,0.9426801048648762,-0.09103754795269246,-18.01733064194726,0.07355975132750364,0.48469105242442573,0.5018135977406859,16.716216216216218,True,matchup_pts,,,,,,,"(1.4, 10.45]",
0.075,,76.0,0.4868421052631579,-0.08725784137745783,-6.631595944686795,0.944200384004558,-0.09241453705767251,-10.30815142516867,0.09573310295953708,0.4502573673433224,0.49941957098903644,16.842105263157894,True,matchup_pts,,,,,,,"(-2.716, -0.872]",
0.025,,459.0,0.4880174291938998,-0.08748941953783067,-40.15764356786428,0.9365293515044862,-0.093418769414203,-44.933661958255996,0.06079434330033739,0.4732749599099641,0.4995866893713685,16.188453159041394,True,edge,,,,edge_5_7_5,,,,
0.05,,459.0,0.4880174291938998,-0.08748941953783067,-40.15764356786428,0.9365293515044862,-0.093418769414203,-44.933661958255996,0.06079434330033739,0.4732749599099641,0.4995866893713685,16.188453159041394,True,edge,,,,edge_5_7_5,,,,
0.025,,738.0,0.4823848238482385,-0.08756536855614164,-64.62324199443253,0.9468117573773563,-0.09248445414186174,-67.12077419038475,0.05614552800391506,0.49830610570056644,0.5145716481475475,15.161246612466124,True,market_prob,,,market_slight_over,,,,,
0.05,,182.0,0.489010989010989,-0.08874152490564427,-16.150957532827256,0.9347795211859558,-0.09493310764131611,-17.636359304807034,0.07478523398183297,0.4663014964226748,0.4992216628813676,16.065934065934066,True,matchup_pts,,,,,,,"(-0.872, 1.4]",
0.1,,49.0,0.4897959183673469,-0.08885322997167949,-4.353808268612295,0.9402451058758782,-0.09450007175406559,-8.492306817344216,0.13122892799710184,0.42715302478138517,0.4987775532216501,24.806122448979593,True,matchup_contact,,,,,,,,"(-4.7010000000000005, -0.95]"
0.1,,35.0,0.4857142857142857,-0.09204424681755675,-3.2215486386144865,0.9488062547738781,-0.09701058182789168,-6.609476117678392,0.12391491924249409,0.43143680892833863,0.4969540683334053,18.84285714285714,True,line,,high_line,,,,,,
0.025,,423.0,0.4846335697399527,-0.09455855609686954,-39.998269228975815,0.9356691819309549,-0.1010598167845259,-47.904891257504815,0.05213803100079382,0.48025479790434966,0.5001360436056522,14.317966903073286,True,contact,,,,,,"(0.0658, 0.0987]",,
0.05,,219.0,0.4794520547945205,-0.10391725722534209,-22.75787933234992,0.9369871663196281,-0.110905742320374,-27.24743486190905,0.06864665923833171,0.4771726876557985,0.49986876506579664,12.102739726027398,True,line,,mid_line,,,,,,
0.05,Over,198.0,0.4797979797979798,-0.10587187793110242,-20.96263183035828,0.9342409661594879,-0.11332395149221985,-22.56448660107534,0.07382258433145811,0.5786340179881531,0.5048114336566949,13.818181818181818,True,side,,,,,,,,
0.1,,32.0,0.46875,-0.11318356789537427,-3.6218741726519768,0.9601634302644948,-0.11787948210462021,-7.064992310354818,0.11615728674220571,0.4227797078955066,0.49938037075220343,17.59375,True,role,starter,,,,,,,
0.05,,303.0,0.46864686468646866,-0.1237158465624819,-37.485901508432015,0.9353711102716931,-0.13226391664645995,-45.0233484639487,0.0721977454318177,0.4573315431983182,0.4988737567410818,17.404290429042906,True,role,starter,,,,,,,
0.025,,416.0,0.46634615384615385,-0.12507340646007317,-52.030537087390435,0.9381013102213662,-0.1333261185090545,-55.77219407166129,0.052850325187362844,0.4911600246644431,0.5005607455697687,14.88701923076923,True,matchup_pts,,,,,,,"(1.4, 10.45]",
0.025,,466.0,0.463519313304721,-0.13058181072372688,-60.85112379725672,0.9370314377431322,-0.13935691532211236,-69.6074656182993,0.06009069410982263,0.4621155751280052,0.4987524241063168,17.989270386266096,True,line,,high_line,,,,,,
0.025,,414.0,0.463768115942029,-0.13324540463481002,-55.16359751881134,0.9340655377539956,-0.14265102313399214,-58.7086934783119,0.05319620174674587,0.4795910389198065,0.4990361075306406,13.85024154589372,True,matchup_contact,,,,,,,,"(-0.09, 0.65]"
0.025,,576.0,0.4600694444444444,-0.1387457041187086,-79.91752557237615,0.9346130186901839,-0.148452569506419,-86.68429029907757,0.05534835225354352,0.4721874006056059,0.4999255893257561,16.70486111111111,True,role,starter,,,,,,,
0.075,,72.0,0.4305555555555556,-0.19283512001195818,-13.88412864086099,0.9355886047751443,-0.2061110182699408,-16.058874563543586,0.09541307009539571,0.4521885599446911,0.5006331301181038,17.555555555555557,True,matchup_contact,,,,,,,,"(-0.09, 0.65]"
0.05,,182.0,0.4065934065934066,-0.24009635372098834,-43.697536377219876,0.9213184248309444,-0.2606008381576048,-45.605609204568694,0.07431507723533712,0.4667612360432634,0.5005943962010593,15.697802197802197,True,matchup_contact,,,,,,,,"(-0.09, 0.65]"
